127.0.0.1 - - [25/Feb/2016:20:47:45 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:47:46 +0200] "GET /PizzeriaProjekti/ClientController HTTP/1.1" 500 1559
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/ClientController HTTP/1.1" 200 30005
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/css/default.css HTTP/1.1" 200 10497
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/css/bootstrap.min.css HTTP/1.1" 200 122544
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/js/googlemap.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/css/default_max768.css HTTP/1.1" 200 8694
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/js/bootstrap.min.js HTTP/1.1" 200 36822
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/js/jquery.easing.min.js HTTP/1.1" 200 5607
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/js/scrolling-nav.js HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/js/scrollit.min.js HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/img/basil2.png HTTP/1.1" 200 445786
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/img/headbg.jpg HTTP/1.1" 200 92961
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/img/mozzarella5.png HTTP/1.1" 200 339759
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/img/tomato2.png HTTP/1.1" 200 619839
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:21 +0200] "GET /PizzeriaProjekti/js/googlemap.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:22 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:22 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:50:26 +0200] "GET /PizzeriaProjekti/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:13 +0200] "GET /PizzeriaProjekti/TilausController?Submit=OnlineTilausn%C3%A4kym%C3%A4 HTTP/1.1" 200 14274
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:13 +0200] "GET /PizzeriaProjekti/css/tyyli.css HTTP/1.1" 200 8534
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:13 +0200] "GET /PizzeriaProjekti/js/index.js HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:13 +0200] "GET /PizzeriaProjekti/img/pizza-b2.png HTTP/1.1" 200 348236
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:13 +0200] "GET /PizzeriaProjekti/img/logo_yellow_sm.png HTTP/1.1" 200 45806
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:13 +0200] "GET /PizzeriaProjekti/img/pizzabg_4.jpg HTTP/1.1" 200 121951
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:19 +0200] "GET /PizzeriaProjekti/TilausController?action=jarjestaHinta HTTP/1.1" 200 14274
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:24 +0200] "GET /PizzeriaProjekti/TilausController?action=jarjestaNimi HTTP/1.1" 200 14274
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:30 +0200] "POST /PizzeriaProjekti/TilausController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:30 +0200] "GET /PizzeriaProjekti/TilausController HTTP/1.1" 200 15750
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:30 +0200] "GET /PizzeriaProjekti/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:30 +0200] "GET /PizzeriaProjekti/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:30 +0200] "GET /PizzeriaProjekti/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:30 +0200] "GET /PizzeriaProjekti/img/minipizza.png HTTP/1.1" 200 6967
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:33 +0200] "POST /PizzeriaProjekti/TilausController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:33 +0200] "GET /PizzeriaProjekti/TilausController HTTP/1.1" 200 16429
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:39 +0200] "POST /PizzeriaProjekti/TilausController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:39 +0200] "GET /PizzeriaProjekti/TilausController HTTP/1.1" 200 16429
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:47 +0200] "POST /PizzeriaProjekti/TilausController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:47 +0200] "GET /PizzeriaProjekti/TilausController HTTP/1.1" 200 14274
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:50 +0200] "POST /PizzeriaProjekti/TilausController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:50 +0200] "GET /PizzeriaProjekti/TilausController HTTP/1.1" 200 15750
0:0:0:0:0:0:0:1 - - [25/Feb/2016:20:51:53 +0200] "GET /PizzeriaProjekti/kassaNakyma.jsp HTTP/1.1" 200 3600
